ID;Category;BackgroundColor;Character;Text;TextL;TextR;FollowUpIdL;FollowUpIdR;FollowUpStepL;FollowUpStepR;CultureL;EconomyL;EnvironmentL;SecurityL;TreasuryL;CultureR;EconomyR;EnvironmentR;SecurityR;TreasuryR
COMMENT;;Focus Culture;;;0;-5;;;;;5;-5;5;0;-5;35;30;-15;-10;-45
1000;Culture;#9177AC;Character1;a gang of artists occupies a highly profitable area in the city. Several companies showed interest in buying it.;support the artists.;remove the artists and sell it.;0;0;0;0;15;-10;5;0;-5;-15;10;-5;0;5
1001;Culture;#9177AC;Character1;researches show that working 35 hours a week doesn't only leave employees with more time for themselves but also increases productivity long term.;haha, that's half of what I did working in games.;encourage more companies to introduce it.;0;2000;0;-1;-5;5;0;0;0;10;-10;0;0;-10
1002;Culture;#9177AC;Character1;the Olympus Games want our country to be the next host! People from all over the world will come to watch!;I have no time for games.;you can never have enough stadiums!;0;0;0;0;-10;0;0;0;0;20;10;-10;-10;-15
1003;Culture;#9177AC;Character1;we should offer higher taxation benefits for charity donations.;we can't afford that.;that sounds good.;0;0;0;0;-5;0;0;0;0;10;10;0;0;-10
1004;Culture;#9177AC;Character1;we should build a new phillarmonic hall in the city that will put all others to shame. It will take a year but when its finished the people will love it.;I'm not sure about your calculations here ...;yes, the city needs a new landmark.;0;2001;0;-1;0;0;0;0;0;0;10;0;0;-15
1005;Culture;#9177AC;Character1;the bill to legalize same sex marriage is ready for your signature.;why would I not sign that?;it's about time.;0;0;0;0;10;0;0;0;0;10;0;0;0;0
1006;Culture;#9177AC;Character1;there is a group of people that want to celebrate being GHNish and spread merch with our flag.;it's okay to be proud but there is no need for another celebration.;patriotism only seperates people.;0;0;0;0;5;0;0;0;0;5;0;0;0;0
1007;Culture;#9177AC;Character1;legalizing marijuana would decrease small-time criminality and also give us a new source for taxes.;no, drugs are bad for our people.;but what about the health of our people?;2003;2003;0;0;0;0;0;0;0;0;0;0;0;0
COMMENT;;Focus Environment;;;-15;5;;;;;10;-10;-10;0;-5;-10;-20;60;-10;-15
1100;Environment;#88CC88;Character2;new studies found out that global warming is in fact real!;the scientists must be conspirators too.;release lower emission standard.;0;0;0;0;0;0;-5;0;0;5;-10;10;0;-5
1101;Environment;#88CC88;Character2;green Power offered to raise the amount of clean energy to over 90.00 percent, given the right funding.;other countries don't care about clean energy either.;let's raise some wind turbines!;0;0;0;0;10;0;-10;0;0;-5;0;20;0;-15
1102;Environment;#88CC88;Character2;pollution from traffic keeps increasing in all areas.;raise a toll on commercial transport.;no more driving on sunday.;0;0;0;0;0;-20;15;0;-5;-10;0;15;0;-5
1103;Environment;#88CC88;Character2;the big pharma does questionable things with their waste. If we spoil their business they might increase insurance cost for the people though.;meddling with them isn't worth it.;fines are always good.;0;0;0;0;0;10;-10;0;0;0;-10;15;-10;10
1104;Environment;#88CC88;Character2;the Big River flooded several cities again. We need to build a dike and dry it out.;no, we need to find another way.;if you say so.;0;0;0;0;5;0;5;-10;-5;-5;0;-10;10;-10
1105;Environment;#88CC88;Character2;the HapPine Forest and Valley should be declared a national park before the industry destroys it.;we have other forests and valleys in our nation.;totally, I will make the calls.;0;0;0;0;-5;10;-10;0;0;5;-5;10;0;-5
1106;Environment;#88CC88;Character2;we need to rework a system to keep people busy. Let's put the focus on environment.;what other choice is there?;alright, have fun.;2007;0;0;0;0;0;0;0;0;-5;-5;10;-5;-5
1107;Environment;#88CC88;Character2;nuclear power plants have unforseeable consequences for our environment. We should abandon them.;they will just get power from the nuclear power plants of our neighbours.;someone has to take the first step in order to save our world.;0;0;0;0;0;5;-5;5;0;5;-5;5;0;-10
COMMENT;;Focus Economy;;;15;20;;;;;20;-15;10;15;-15;-15;55;-15;0;-5
1200;Economy;#D4CE6A;Character3;some companies complain about too high taxes and threaten to relocate their business.;they're bluffing.;lower the taxes.;0;0;0;0;5;-10;0;-5;0;-5;10;0;5;-10
1201;Economy;#D4CE6A;Character3;open the borders so the trade can flow more freely.;we need to focus on ourselves.;open borders, yay!;0;0;0;0;5;-10;0;10;0;-5;15;0;-10;0
1202;Economy;#D4CE6A;Character3;companies would be willing to pay more taxes if there was more tolerance in regards of pollution.;I have little tolerance for that.;we don't have to be so nitpicky.;0;0;0;0;0;-10;10;0;0;0;15;-15;0;10
1203;Economy;#D4CE6A;Character3;our neighbours start to produce and sell wares similar to ours, we expect there are industry spies.;prosecute theft of IP more thoroughly.;allow for more surveillance at work.;0;0;0;0;10;15;0;10;-15;-5;15;0;5;-5
1204;Economy;#D4CE6A;Character3;companies request more building space. There is still a lot of forest left that we can free up.;I like our forest.;you can always regrow trees.;0;2004;0;-1;5;-5;5;0;0;0;10;-5;0;-5
1205;Economy;#D4CE6A;Character3;companies are outsourcing their production to poorer countries to save money.;we can't keep up with these low wage countries.;offer taxation benefits for lower wage jobs.;0;2011;0;-1;0;-5;0;0;0;0;10;0;5;-10
1206;Economy;#D4CE6A;Character3;we should make it easier for illegal immigrants to come into our country so the industry finds more cheap workers.;you are fired.;yes. (Evil laughter);0;0;0;0;0;-5;0;5;0;0;10;0;-5;0
COMMENT;;Focus Security;;;-10;-5;;;;;15;-10;-10;10;-15;-10;0;15;40;-50
